batch_id,name,email,phone
20,Vishal,vishal@gmail.com,123
21,Vishal,vishal@gmail.com,456
33,Vishal,vishal@gmail.com,789
44,Vishal,vishal@gmail.com,987
57,Vishal,vishal@gmail.com,654
62,Vishal,vishal@gmail.com,321
76,Vishal,vishal@gmail.com,741
88,Vishal,vishal@gmail.com,852
91,Vishal,vishal@gmail.com,963
101,Vishal,vishal@gmail.com,369
118,Vishal,vishal@gmail.com,258
127,Vishal,vishal@gmail.com,147
138,Vishal,vishal@gmail.com,753
143,Vishal,vishal@gmail.com,357
159,Vishal,vishal@gmail.com,159
162,Vishal,vishal@gmail.com,951
177,Vishal,vishal@gmail.com,173
183,Vishal,vishal@gmail.com,371
197,Vishal,vishal@gmail.com,397
